iter	Passed	Remaining
0	146	146221
1	147	73500
2	148	49350
3	150	37364
4	152	30292
5	154	25560
6	156	22221
7	158	19706
8	160	17715
9	162	16083
10	163	14689
11	164	13524
12	164	12517
13	167	11773
14	168	11047
15	170	10457
16	172	9958
17	173	9459
18	175	9037
19	177	8673
20	178	8337
21	180	8025
22	182	7739
23	183	7471
24	185	7217
25	186	6988
26	187	6767
27	189	6564
28	189	6360
29	190	6166
30	191	5996
31	193	5845
32	194	5695
33	195	5550
34	196	5416
35	197	5288
36	198	5172
37	199	5057
38	200	4950
39	201	4844
40	202	4742
41	203	4646
42	204	4552
43	205	4463
44	206	4376
45	207	4296
46	207	4217
47	208	4140
48	209	4066
49	210	3996
50	211	3926
51	211	3860
52	212	3796
53	213	3735
54	213	3676
55	214	3618
56	215	3561
57	215	3506
58	216	3452
59	217	3399
60	217	3349
61	218	3300
62	218	3252
63	219	3206
64	219	3162
65	220	3118
66	220	3075
67	221	3030
68	221	2990
69	222	2952
70	222	2915
71	223	2878
72	223	2843
73	224	2808
74	224	2774
75	225	2741
76	226	2709
77	226	2678
78	227	2646
79	227	2616
80	228	2586
81	228	2557
82	229	2530
83	229	2503
84	229	2474
85	230	2449
86	230	2422
87	231	2397
88	231	2373
89	232	2349
90	232	2326
91	233	2304
92	233	2281
93	234	2260
94	234	2238
95	235	2217
96	236	2197
97	236	2177
98	237	2157
99	237	2138
100	238	2120
101	238	2099
102	239	2081
103	239	2063
104	240	2046
105	240	2029
106	241	2012
107	241	1996
108	242	1979
109	242	1963
110	243	1947
111	243	1934
112	244	1920
113	245	1907
114	246	1893
115	246	1877
116	246	1863
117	247	1849
118	247	1834
119	248	1820
120	248	1807
121	249	1793
122	249	1778
123	249	1765
124	250	1752
125	250	1740
126	251	1727
127	251	1713
128	252	1701
129	252	1689
130	253	1678
131	253	1667
132	254	1656
133	254	1645
134	255	1634
135	255	1623
136	255	1612
137	256	1601
138	256	1590
139	257	1580
140	257	1570
141	258	1560
142	258	1551
143	259	1542
144	259	1533
145	260	1523
146	261	1514
147	261	1505
148	262	1496
149	262	1488
150	263	1479
151	263	1470
152	264	1462
153	264	1453
154	265	1445
155	265	1437
156	266	1429
157	266	1421
158	267	1413
159	267	1406
160	268	1398
161	269	1391
162	269	1384
163	270	1377
164	270	1370
165	271	1363
166	271	1356
167	272	1349
168	273	1342
169	273	1335
170	274	1329
171	274	1322
172	275	1315
173	275	1309
174	276	1302
175	276	1296
176	277	1290
177	278	1283
178	278	1277
179	279	1271
180	279	1264
181	279	1257
182	280	1252
183	281	1246
184	281	1240
185	282	1234
186	282	1229
187	283	1224
188	284	1218
189	284	1213
190	285	1207
191	285	1202
192	286	1197
193	287	1192
194	287	1187
195	288	1182
196	288	1177
197	289	1172
198	290	1167
199	290	1162
200	291	1157
201	291	1152
202	292	1148
203	293	1143
204	293	1138
205	294	1134
206	294	1129
207	295	1125
208	296	1120
209	296	1116
210	297	1111
211	297	1107
212	298	1103
213	299	1099
214	299	1094
215	300	1090
216	301	1086
217	301	1081
218	302	1078
219	302	1073
220	303	1069
221	303	1065
222	304	1061
223	305	1057
224	305	1053
225	306	1049
226	306	1045
227	307	1041
228	308	1037
229	308	1033
230	309	1029
231	309	1025
232	310	1021
233	310	1018
234	311	1014
235	312	1010
236	312	1006
237	313	1002
238	313	999
239	314	995
240	315	992
241	315	988
242	316	985
243	317	982
244	317	978
245	318	975
246	318	972
247	319	968
248	320	965
249	320	962
250	321	958
251	321	955
252	322	952
253	323	949
254	323	945
255	324	942
256	325	939
257	325	936
258	326	933
259	326	930
260	327	926
261	327	923
262	328	920
263	329	917
264	329	914
265	330	911
266	330	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	335	887
274	335	884
275	336	882
276	336	879
277	337	876
278	338	873
279	338	870
280	339	867
281	339	865
282	340	862
283	341	859
284	341	857
285	342	854
286	342	851
287	343	849
288	344	846
289	344	844
290	345	841
291	346	839
292	346	836
293	347	834
294	347	831
295	348	828
296	349	826
297	349	823
298	350	821
299	350	818
300	351	816
301	352	813
302	352	811
303	353	808
304	353	806
305	354	804
306	355	801
307	355	799
308	356	796
309	356	794
310	357	792
311	358	789
312	358	787
313	359	785
314	360	782
315	360	780
316	361	778
317	362	776
318	362	774
319	363	771
320	363	769
321	364	767
322	365	765
323	365	762
324	366	760
325	366	758
326	367	756
327	368	754
328	368	751
329	369	749
330	369	747
331	370	745
332	371	743
333	371	741
334	372	739
335	372	736
336	373	734
337	374	732
338	374	730
339	375	728
340	376	726
341	376	724
342	377	722
343	377	720
344	378	718
345	379	716
346	379	714
347	380	712
348	380	710
349	381	708
350	381	706
351	382	704
352	383	702
353	383	700
354	384	698
355	384	696
356	385	694
357	386	692
358	386	690
359	387	688
360	387	686
361	388	684
362	389	683
363	389	681
364	390	679
365	391	677
366	391	675
367	392	674
368	393	672
369	393	670
370	394	668
371	394	666
372	395	664
373	396	662
374	396	660
375	397	658
376	397	657
377	398	655
378	398	653
379	399	651
380	399	649
381	400	647
382	400	645
383	401	644
384	402	642
385	402	640
386	403	638
387	403	637
388	404	635
389	405	633
390	405	631
391	406	630
392	406	628
393	407	626
394	408	625
395	408	623
396	409	621
397	410	620
398	410	618
399	411	616
400	411	615
401	412	613
402	413	611
403	413	610
404	414	608
405	414	607
406	415	605
407	416	603
408	416	602
409	417	600
410	417	598
411	418	597
412	419	595
413	419	594
414	420	592
415	420	591
416	421	589
417	422	587
418	422	586
419	423	584
420	424	583
421	424	581
422	425	580
423	425	578
424	426	577
425	427	575
426	427	573
427	428	572
428	428	570
429	429	569
430	430	567
431	430	566
432	431	564
433	431	563
434	432	561
435	433	560
436	433	559
437	434	557
438	435	556
439	435	554
440	436	553
441	437	551
442	437	550
443	438	548
444	439	547
445	439	546
446	440	544
447	440	543
448	441	541
449	442	540
450	442	539
451	443	537
452	444	536
453	444	534
454	445	533
455	445	532
456	446	530
457	447	529
458	447	527
459	448	526
460	449	525
461	449	523
462	450	522
463	450	520
464	451	519
465	452	518
466	452	516
467	453	515
468	453	513
469	454	512
470	454	510
471	455	509
472	455	507
473	456	506
474	456	504
475	457	503
476	457	502
477	458	500
478	458	499
479	459	497
480	459	496
481	460	494
482	460	493
483	461	491
